site,Observer,date,year,month,day,time,hour,minutes,interval,num.arrive,num.depart,net.arrival
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:42,19,42,19:30,99,,99
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:45,19,45,19:30,113,,113
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:46,19,46,19:30,220,,220
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:48,19,48,19:30,53,,53
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:50,19,50,19:30,23,,23
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:51,19,51,19:30,34,,34
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:53,19,53,19:30,128,,128
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:56,19,56,19:30,18,,18
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,19:59,19,59,19:30,210,,210
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:00,20,0,20:00,390,,390
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:01,20,1,20:00,145,,145
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:02,20,2,20:00,24,,24
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:03,20,3,20:00,51,,51
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:04,20,4,20:00,37,,37
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:07,20,7,20:00,320,,320
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:07,20,7,20:00,65,,65
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:08,20,8,20:00,67,,67
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:09,20,9,20:00,40,,40
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:09,20,9,20:00,70,,70
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:10,20,10,20:00,48,,48
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:12,20,12,20:00,124,,124
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:13,20,13,20:00,12,,12
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:14,20,14,20:00,38,,38
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:16,20,16,20:00,9,,9
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:17,20,17,20:00,35,,35
front_beach,Maina Handmaker & Abby Sterling,4-May-19,2019,5,4,20:18,20,18,20:00,175,,175
